match_datetime,duration,duration_sec,radiant_kills,dire_kills,winning_team
2023-11-12 22:37,45:06,2706,39,37,radiant
2023-11-11 00:14,33:58,2038,24,42,dire
2023-11-10 23:18,46:46,2806,29,31,dire
2023-11-10 01:38,32:55,1975,24,46,dire
2023-11-10 00:42,47:32,2852,49,22,radiant
2023-10-30 21:52,37:55,2275,38,40,radiant
2023-10-30 23:02,53:40,3220,52,41,radiant
2023-10-31 23:51,50:28,3028,27,42,radiant
2023-11-01 00:39,30:13,1813,41,15,radiant
2023-11-07 02:22,55:39,3339,58,39,dire
2023-11-07 21:40,32:16,1936,38,14,radiant
2023-11-07 23:01,53:55,3235,39,47,dire
2023-11-08 23:15,42:59,2579,42,27,radiant
2023-11-08 00:00,34:57,2097,19,40,dire
2023-11-08 22:05,64:39,3879,51,48,dire
2023-10-06 22:36,58:28,3508,37,37,dire
2023-10-07 23:50,49:00,2940,47,49,dire
2023-10-07 22:21,35:51,2151,43,20,radiant
2023-10-07 21:12,41:06,2466,22,41,dire
2023-10-24 00:35,26:32,1592,28,6,radiant
2023-10-23 23:45,46:45,2805,53,19,radiant
2023-10-23 22:31,41:57,2517,54,22,radiant
2023-10-23 21:19,33:14,1994,40,9,radiant
2023-10-23 00:20,44:27,2667,45,29,radiant
2023-10-22 23:18,27:46,1666,16,36,dire
2023-10-05 22:49,20:55,1255,19,4,radiant
2023-10-05 21:00,37:03,2223,35,19,radiant
2023-10-05 22:52,39:51,2391,44,25,radiant
2023-10-09 21:55,47:00,2820,23,41,dire
2023-10-09 02:08,39:38,2378,29,42,dire
2023-10-05 21:30,20:55,1255,4,20,dire
2023-10-04 23:30,26:33,1593,8,31,dire
2023-10-04 22:50,16:16,976,20,3,radiant
2023-11-16 22:10,28:34,1714,10,38,dire
2023-11-16 23:12,44:27,2667,24,42,dire
2024-01-28 19:00,26:20,1580,29,9,radiant
2024-03-16 22:54,33:29,2009,36,22,radiant
2024-03-16 23:57,34:32,2072,18,34,dire
2024-03-17 01:17,43:52,2632,20,37,dire
2024-07-03 21:40,37:20,2240,32,18,radiant
2024-07-03 22:40,26:56,1616,10,42,dire
2024-07-03 23:20,40:47,2447,50,32,radiant
2024-07-04 22:10,43:18,2598,29,28,radiant
2024-07-04 23:16,63:35,3815,50,46,radiant
2024-07-06 21:30,29:41,1781,29,19,radiant
2024-07-06 22:20,44:01,2641,40,29,radiant
2024-07-06 23:30,33:01,1981,36,25,radiant
2024-07-07 22:00,61:24,3684,46,46,radiant
2024-07-07 23:00,47:03,2823,34,45,dire
2024-07-11 22:00,50:14,3014,55,43,radiant
2024-07-11 23:00,40:20,2420,34,42,dire
2024-07-12 21:00,36:55,2215,18,44,radiant
2024-07-12 23:00,30:31,1831,15,33,dire
2024-07-15 21:00,47:29,2849,52,35,radiant
2024-07-15 22:00,47:54,2874,48,34,radiant
2024-07-21 21:00,28:03,1683,15,38,dire
2024-07-21 22:00,48:19,2899,37,37,dire
2024-07-21 23:00,27:43,1663,38,18,radiant
2024-07-22 21:00,46:12,2772,42,45,radiant
2024-07-22 22:00,31:25,1885,22,43,dire
2024-07-26 21:00,32:55,1975,34,27,radiant
2024-07-26 22:00,29:11,1751,36,15,radiant
2024-07-26 23:00,51:06,3066,55,38,radiant
2024-07-27 21:00,45:36,2736,49,30,radiant
2024-07-27 22:00,46:03,2763,30,44,dire
2024-07-27 23:00,39:22,2362,49,19,radiant
2024-07-28 00:00,40:04,2404,44,14,radiant
2024-07-28 01:00,32:50,1970,42,16,radiant
2024-07-30 22:00,48:36,2916,29,41,dire
2024-07-30 23:00,38:21,2301,30,14,radiant
2024-08-02 22:00,51:21,3081,32,45,dire
2024-08-02 23:00,46:16,2776,32,34,dire
2024-08-03 21:00,26:50,1610,37,19,radiant
2024-08-03 22:00,29:39,1779,39,15,radiant
2024-08-06 21:00,45:36,2736,46,50,dire
2024-08-06 22:00,41:40,2500,18,37,dire
2024-08-07 21:00,56:30,3390,55,46,radiant
2024-08-07 22:00,30:34,1834,50,18,radiant
2024-08-20 22:00,28:42,1722,33,17,radiant
2024-08-20 23:30,32:22,1942,31,51,dire
2024-08-20 22:42,38:39,2319,43,38,radiant
2024-08-19 20:20,45:44,2744,29,48,dire
2024-08-22 21:00,36:02,2162,53,29,radiant
2024-08-22 22:00,60:24,3624,44,54,dire
2024-08-23 21:00,42:59,2579,38,36,radiant
2024-08-24 21:00,56:21,3381,33,39,radiant
2024-08-29 21:00,35:31,2131,37,45,dire
2024-08-29 22:00,39:01,2341,47,16,radiant
2024-10-25 21:00,28:51,1731,36,14,radiant
