match_datetime,duration_sec,winning_team,player_name,team,position,net_worth,kills,deaths,assists
2023-11-12 22:37,2706,radiant,palec,radiant,4,14161,2,7,15
2023-11-12 22:37,2706,radiant,imba,radiant,1,38330,20,1,10
2023-11-12 22:37,2706,radiant,aizlkel,radiant,5,18852,6,15,23
2023-11-12 22:37,2706,radiant,sobolew,radiant,3,24387,5,5,23
2023-11-12 22:37,2706,radiant,katokan,radiant,2,21868,4,9,21
2023-11-12 22:37,2706,radiant,pizza,dire,5,12827,6,5,20
2023-11-12 22:37,2706,radiant,poopy,dire,4,16505,6,12,18
2023-11-12 22:37,2706,radiant,dextron,dire,3,15600,8,7,8
2023-11-12 22:37,2706,radiant,toyota,dire,1,22755,3,5,12
2023-11-12 22:37,2706,radiant,starlight,dire,2,19327,14,11,9
2023-11-11 00:14,2038,dire,pizza,radiant,5,8052,7,7,9
2023-11-11 00:14,2038,dire,imba,radiant,1,17387,12,4,8
2023-11-11 00:14,2038,dire,itnon,radiant,4,6408,1,12,10
2023-11-11 00:14,2038,dire,dextron,radiant,3,8620,2,10,9
2023-11-11 00:14,2038,dire,starlight,radiant,2,11519,2,9,10
2023-11-11 00:14,2038,dire,poopy,dire,2,16602,10,3,19
2023-11-11 00:14,2038,dire,palec,dire,4,12165,0,5,24
2023-11-11 00:14,2038,dire,fishscale,dire,1,28020,25,1,8
2023-11-11 00:14,2038,dire,kebab,dire,5,11994,5,3,18
2023-11-11 00:14,2038,dire,aizlkel,dire,3,13849,2,12,24
2023-11-10 23:18,2806,dire,dextron,radiant,3,15878,3,7,15
2023-11-10 23:18,2806,dire,kebab,radiant,4,12194,3,4,12
2023-11-10 23:18,2806,dire,starlight,radiant,1,19571,5,9,13
2023-11-10 23:18,2806,dire,itnon,radiant,5,9359,1,8,11
2023-11-10 23:18,2806,dire,imba,radiant,2,23902,14,4,4
2023-11-10 23:18,2806,dire,egor,dire,4,17498,4,7,14
2023-11-10 23:18,2806,dire,fishscale,dire,1,36597,22,1,2
2023-11-10 23:18,2806,dire,poopy,dire,2,17861,4,6,14
2023-11-10 23:18,2806,dire,pizza,dire,5,12924,1,8,22
2023-11-10 23:18,2806,dire,katokan,dire,3,23545,1,7,13
2023-11-10 01:38,1975,dire,pizza,radiant,5,8596,5,10,11
2023-11-10 01:38,1975,dire,yak,radiant,2,11632,8,10,6
2023-11-10 01:38,1975,dire,kebab,radiant,4,8943,3,9,4
2023-11-10 01:38,1975,dire,aizlkel,radiant,3,6208,1,13,10
2023-11-10 01:38,1975,dire,toyota,radiant,1,12755,5,4,9
2023-11-10 01:38,1975,dire,fishscale,dire,1,26127,24,1,10
2023-11-10 01:38,1975,dire,itnon,dire,4,9482,4,7,18
2023-11-10 01:38,1975,dire,egor,dire,3,13509,2,4,19
2023-11-10 01:38,1975,dire,emperor,dire,2,23071,12,5,19
2023-11-10 01:38,1975,dire,palandirka,dire,5,10576,4,7,18
2023-11-10 00:42,2852,radiant,itnon,radiant,4,11746,1,5,20
2023-11-10 00:42,2852,radiant,palandirka,radiant,5,13747,4,9,24
2023-11-10 00:42,2852,radiant,egor,radiant,3,25277,8,4,17
2023-11-10 00:42,2852,radiant,fishscale,radiant,1,45383,27,1,10
2023-11-10 00:42,2852,radiant,emperor,radiant,2,21012,9,3,38
2023-11-10 00:42,2852,radiant,toyota,dire,1,16246,12,6,8
2023-11-10 00:42,2852,radiant,starlight,dire,2,18554,4,13,6
2023-11-10 00:42,2852,radiant,pizza,dire,5,6633,0,12,7
2023-11-10 00:42,2852,radiant,kebab,dire,4,10688,5,7,8
2023-11-10 00:42,2852,radiant,aizlkel,dire,3,13931,1,11,9
2023-10-30 21:52,2275,radiant,pizza,radiant,2,16165,5,8,19
2023-10-30 21:52,2275,radiant,palec,radiant,4,11599,1,11,19
2023-10-30 21:52,2275,radiant,katokan,radiant,1,31834,24,6,9
2023-10-30 21:52,2275,radiant,fishscale,radiant,5,14914,7,5,26
2023-10-30 21:52,2275,radiant,aizlkel,radiant,3,12525,1,10,25
2023-10-30 21:52,2275,radiant,itnon,dire,5,6320,2,11,20
2023-10-30 21:52,2275,radiant,emperor,dire,2,17950,14,3,18
2023-10-30 21:52,2275,radiant,dextron,dire,3,12339,3,9,9
2023-10-30 21:52,2275,radiant,egor,dire,1,20906,14,6,9
2023-10-30 21:52,2275,radiant,toyota,dire,4,11001,7,9,19
2023-10-30 23:02,3220,radiant,pizza,radiant,5,20118,7,9,31
2023-10-30 23:02,3220,radiant,fishscale,radiant,3,50484,22,3,18
2023-10-30 23:02,3220,radiant,palec,radiant,4,16703,3,10,22
2023-10-30 23:02,3220,radiant,aizlkel,radiant,1,20917,3,13,9
2023-10-30 23:02,3220,radiant,katokan,radiant,2,31196,17,6,21
